Company Code,Company Name,Category,Registration Status,Validity Period,Bumiputera Status,Bumiputera Validity,Certificate No,Classifications
SA20160512,SYARIKAT PUTERI MAYANG ENTERPRISE,Works,Expired,28/08/2019,yes,28/08/2019,UPK-K/09035,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
478/94,SYARIKAT RAHIFA KONTRAKTOR,Works,Expired,23/12/2022,yes,23/12/2022,UPK-K/04270,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b"
SA20160165,SYARIKAT SENANG HATI,Works,Valid,23/03/2027,yes,23/03/2027,UPK-K/13081 & UPK-B/05872,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-5a, F-II-5b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
213/85,SYARIKAT SRI BERJAYA,Works,Expired,22/12/2025,yes,22/12/2025,"UPK-K/06708, UPK-K/10438 & UPK-B/03617","D-I-1, D-I-2ib, D-I-2iib, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-IV-1a, D-IV-1b, D-IV-2a, D-IV-4a, D-IV-4b, D-VI-5ia, D-VI-5iia, D-VI-5b, D-VI-5c, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
217/00,SYARIKAT SUNGEI BUNUT,Works,Valid,27/02/2028,yes,27/02/2028,UPK-K/07422,"F-I-1, F-I-2ib, F-I-2iib, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-7, F-III-1d, F-III-2a"
REG-45B90DA806,SYARIKAT TINTING RINDANG,Works,Valid,25/04/2027,yes,25/04/2027,,"F-II-1a, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d"
196/76,SYARIKAT ZAM ZAM,Works,Valid,6/11/2027,yes,6/11/2027,UPK-K/13298,"E-I-1, E-I-3iia, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b, E-VI-5b"
1034/01,TECHNICAL SOLUTIONS,Works,Expired,18/06/2022,yes,18/06/2022, -,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20141375,TOM BUMIPUTRA KONTRAKTOR,Works,Expired,13/03/2026,yes,13/03/2026,UPK-K/11851,"F-I-1, F-II-1a, F-II-2a, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c"
SA20190125,TRILLION69 ENTERPRISE,Works,Expired,11/12/2022,yes,11/12/2022,UPK-K/14372,"F-II-5a, F-II-5b"
SA2009480,TRIO-A ENTERPRISE,Works,Valid,2/8/2027,yes,2/8/2027,UPK-K/09530 & UPK-B/04749,"C-I-1, C-I-2ia, C-I-2ib, C-I-2iib, C-I-3ia, C-I-3iia, C-I-4a, C-I-4b, C-I-4c, C-I-6, C-II-1a, C-II-1c, C-II-2a, C-II-2b, C-II-3a, C-II-3c, C-II-5a, C-II-5b, C-II-5c, C-II-6a, C-II-6b, C-II-7, C-III-1a, C-III-1b, C-III-1c, C-III-1d, C-III-1e, C-III-2a, C-III-2b, C-III-2c, C-III-2d, C-III-3a, C-III-3b, C-III-3c, C-III-4a, C-III-4b, C-III-4c, C-IV-1a, C-IV-2a, C-IV-3, C-IV-4a, C-IV-4b, C-VI-5ia, C-VI-5iia, C-VI-5b, C-VI-5c, C-VI-5d, C-VI-6"
SA20200944,TUAH JAYA ENTERPRISE,Works,Expired,25/10/2025,yes,25/10/2025,UPKJ/W/007477,"F-I-1, F-II-2a, F-II-5a, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA20091321,TUAI RUMAH SIJAH ENTERPRISE,Works,Expired,30/07/2025,yes,30/07/2025, -,"E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-4, E-II-5a, E-II-5b, E-II-5c, E-III-1d, E-III-2a"
SA2012741,TUJUH GAGASAN ENTERPRISE,Works,Valid,25/06/2027,yes,25/06/2027,UPK-K/10956 & UPK-B/04865,"D-I-1, D-I-3iia, D-II-1a, D-II-1b, D-II-1c, D-II-2a, D-II-2b, D-II-5a, D-II-5b, D-II-5c, D-II-6a, D-II-6b, D-III-1a, D-III-1b, D-III-1c, D-III-1d, D-III-1e, D-III-2a, D-III-2b, D-III-2c, D-III-2d, D-III-3a, D-III-3b, D-III-3c, D-IV-1b, D-IV-4a, D-IV-4b"
SBU/BNR/1275/2021,TUN MAWANG ENTERPRISE,Works,Valid,25/05/2026,yes,25/05/2026,UPKJ/W/009769,"F-II-5a, F-II-6a"
28/97,TUPUAN ENTERPRISE,Works,Valid,24/08/2027,yes,24/08/2027,UPK-K/13135,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1d"
158/99,UNILINKS ENTERPRISE,Works,Expired,1/1/2023,yes,1/1/2023,UPK-K/09725,"E-I-1, E-I-2ia, E-I-2iia, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c"
SA2013335,USAHA SAMA TRADING,Works,Expired,16/11/2022,yes,16/11/2022,UPK-K/09439,"F-II-5a, F-II-5c"
REG-9AD02EDA67,WAHAFAFA ENTERPRISE,Works,Valid,29/03/2027,yes,29/03/2027,,"F-I-1, F-II-1a, F-II-1b, F-II-2a, F-II-2b, F-II-5a, F-II-5c, F-II-6a, F-III-1a, F-III-1b, F-III-1d, F-III-1e"
438/83,WAN MAS CONSTRUCTION & COMPANY,Works,Valid,20/11/2027,yes,20/11/2027,UPK-K/06648,"E-I-1, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c"
789/06,WANT N WILL ENTERPRISE,Works,Valid,14/05/2027,yes,14/05/2027,,"F-II-5a, F-II-5b, F-II-5c, F-III-1d"
SA20171170,WAWASAN MD ENTERPRISE,Works,Valid,15/07/2026,yes,15/07/2026,UPK-K/11791,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-I-4a, E-I-4b, E-I-4c, E-I-4d, E-I-5a, E-I-5b, E-I-6, E-I-7, E-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e"
957584-H,WHE CONTRACT SDN. BHD.,Works,Valid,15/10/2026,yes,15/10/2026,UPK-K/14402,"A-I-1, A-I-2ia, A-I-3ia, A-I-3iia, A-I-4a, A-I-4b, A-I-4c, A-II-2a, A-II-2b, A-II-5a, A-II-5b, A-II-5c, A-III-1a, A-III-1b, A-III-1c, A-III-1d, A-III-1e, A-III-2a, A-III-2b, A-III-2c, A-III-2d, A-III-3b, A-III-4a, A-III-4b, A-III-4c, A-IV-2a, A-IV-2b, A-IV-4a, A-IV-4b, A-VI-5d"
SA20171133,ZURIZA ENTERPRISE,Works,Expired,12/1/2026,yes,12/1/2026,UPK-K/10996,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b"
REG-BF762EB5F4,AR-RAZZAQ ENTERPRISE,Works,Valid,6/8/2026,yes,6/8/2026,,"F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
REG-FEBEA71461,JSEA ENTERPRISE,Works,Valid,19/07/2026,yes,19/07/2026,,"F-II-5a, F-II-5b, F-II-5c"
SC2019/492,ANP ELECTRICAL WORKS & CONTRACTOR,Works,Valid,17/01/2028,yes,17/01/2028,,"F-II-5a, F-II-5b, F-II-1a"
SC2007009,AMIT ENTERPRISE,Works,Valid,26/08/2026,yes,26/08/2026,UPK-K/15374,"F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
REG-CF5A279D13,AWANG ENTERPRISE,Works,Valid,27/04/2027,yes,27/04/2027,,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
SC2018/447,BORNEO LIGHT ENGINEERING,Works,Valid,20/05/2026,yes,20/05/2026,,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-3iia, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
SC2016388,BULOH ENTERPRISE,Works,Valid,27/04/2027,yes,27/04/2027,UPK-K/11484,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
SC2016385,CAHAYA PERMATA TUAH ENTERPRISE (CPT),Works,Valid,20/06/2026,yes,20/06/2026,UPK-K/11477,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
REG-7CB3A5196E,CSC CONSTRUCTION,Works,Expired,1/3/2025,yes,1/3/2025,,F-II-5a
SC2016379,ENJAU ENTERPRISE,Works,Valid,5/11/2026,yes,5/11/2026,UPK-K/10860,"F-I-1, F-II-5a, F-II-5b, F-II-5c, F-III-1a, F-III-1a"
SC2013266,GEMILANG ENTERPRISE,Works,Valid,18/02/2027,yes,18/02/2027,UPK-K/09426,"E-I-1, E-I-2ia, E-I-2iia, E-II-1a, E-II-1b, E-II-1c, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-IV-4a, E-IV-4b"
SC2018436,GEVERO CONSTRUCTION,Works,Valid,13/04/2026,yes,13/04/2026,,"F-II-5a, F-II-5b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a, D-I-2iic, D-I-3iia, D-IV-1a, D-IV-1b, D-IV-2a, D-IV-4a, D-IV-4b"
SC2015356,GOLDEN KENYALANG GENERAL CONTRACTOR,Works,Valid,23/04/2026,yes,23/04/2026,UPK-K/10003,"F-I-1, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d"
S039/2003/C,JAYABINA ENTERPRISE,Works,Expired,7/10/2023,yes,7/10/2023,UPKJ-K/08547,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SC2019/485,JENN CONTRACTOR,Works,Expired,12/1/2024,yes,12/1/2024,UPK-K/16141,"F-I-1, F-I-2ia, F-I-2iia, F-III-1a, F-III-1b, F-III-1c, F-III-2a"
S/012/2003/C,JETI AK NGERAMBANG CONTRACTOR,Works,Valid,8/12/2026,yes,8/12/2026,UPK-K/07510,"F-I-1, F-I-3b, F-I-3c, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-7, F-III-1a, F-III-1b"
SC2016381,KENYALANG CONTRACTOR,Works,Expired,7/1/2026,yes,7/1/2026,UPK-K/09594,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-3iia, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SC2014329,KENYALANG ENTERPRISE,Works,Expired,2/4/2024,yes,2/4/2024,UPK-K/12944,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
SC2017401,KERESA CONSTRUCTION & SERVICES,Works,Valid,21/05/2027,yes,21/05/2027,A/7369(6),"E-I-1, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-3a, E-III-3b, E-III-3c, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-7"
REG-8E5578DDF9,KUDEY GEMILANG ENTERPRISE,Works,Valid,8/12/2026,yes,8/12/2026,,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b"
SC2019/491,LUBOK TUGONG ENTERPRISE,Works,Valid,7/3/2027,yes,7/3/2027,UPKJ/W/000412,"F-I-1, F-I-2ib, F-I-2iib, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
S027/2003/C,LUDAN & SONS GENERAL CONTRACTOR & TRADING CO.,Works,Valid,21/12/2027,yes,21/12/2027,"UPK-K/09212, UPK-K/10907 & UPK-B/05213","F-I-1, F-I-2ia, F-I-2iia, F-I-4a, F-I-4b, F-I-4c, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-2a"
SC2007013,MASKATA ENTERPRISE,Works,Valid,20/06/2027,yes,20/06/2027,UPK-K/04623,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SC2016386,MBDB CONSTRUCTION,Works,Valid,3/10/2026,yes,3/10/2026,UPK-K/10613,"E-II-5a, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1d, E-III-1e, E-III-2c, E-III-2d, E-III-4a, E-III-4c, E-IV-1b, E-IV-4a, E-IV-4b"
S054/2004/C,MEDAN PESAKA ENTERPRISE,Works,Valid,9/5/2026,yes,9/5/2026,UPK-K/07600,"F-II-5a, F-II-5b, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1d, F-III-1e"
SC2019/487,PERMATA LIRAI ENTERPRISE,Works,Valid,14/03/2028,yes,14/03/2028,UPKJ/W/008914,"F-I-1, F-II-7"
SC2018434,R & R ENTEPRISE,Works,Valid,11/8/2027,yes,11/8/2027,UPK-K/15358,"E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SC2013265,ROYAL AUP COMPANY,Works,Expired,15/11/2025,yes,15/11/2025,UPK-K/11789,"E-VI-1, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-5c, E-VI-5d, E-VI-1, E-VI-3, D-IV-1a, D-IV-1b, D-IV-2a, D-IV-2b, D-IV-3, D-IV-4a, D-IV-4b"
SC2016375,SARUMA JAYA GENERAL CONTRACTOR,Works,Valid,18/02/2027,yes,18/02/2027,UPK-K/11146,"F-I-1, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2iic, F-I-3ia, F-I-3iia, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-3, E-IV-4a, E-IV-4b"
SC2018/457,SEGAMANG ENTERPRISE,Works,Valid,12/10/2027,yes,12/10/2027,UPK-K/14376,"F-II-5a, F-II-5b, F-II-5c"
S101/2004/C,SENIBONG JATI ENTERPRISE,Works,Valid,1/5/2026,yes,1/5/2026,UPK-K/10006,"F-I-1, F-I-2ib, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7, F-III-1a, F-III-1b, F-III-1c, F-III-1d"
S056/2004/C,SRI TANYIT ENTERPRISE,Works,Valid,1/9/2026,yes,1/9/2026,UPK-K/09041,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a"
SC2017411,SYARIKAT ARAU JAYA,Works,Valid,28/10/2027,yes,28/10/2027,UPK-K/14301,"F-II-5a, F-II-5b, F-II-5c"
S020/2003/C,SYARIKAT BUMI SEKUAU,Works,Valid,27/12/2026,yes,27/12/2026,UPK-K/12903,"F-I-1, F-II-1a, F-II-1b, F-II-2a, F-II-2b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SC2007018,SYARIKAT BUNGA TAMIN,Works,Valid,19/06/2026,yes,19/06/2026,UPK-K/11234,"E-I-1, E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-4, E-II-5a, E-II-5b, E-II-5c, E-II-6a, E-II-6b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
S165/52005/C,SYARIKAT BINTANG MAS,Works,Valid,11/6/2027,yes,11/6/2027,UPKJ/W/005575,"F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e"
S133/2005/C,SYARIKAT DANAURIA SELANGAU,Works,Valid,6/8/2027,yes,6/8/2027,"UPK-K/04818, UPK-B/02693","F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SC2007006,SYARIKAT JUCOBAS MAJUJAYA,Works,Expired,1/3/2022,yes,1/3/2022,UPK-K/12616,"F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
S041/2003/C,SYARIKAT KONSACO,Works,Valid,17/12/2027,yes,17/12/2027,"UPK-K/03397, UPK-K/10624 & UPK-B/03591","F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-3iia, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1d, F-III-2a"
S067/2004/C,SYARIKAT LALANG,Works,Expired,31/12/2021,yes,31/12/2021,UPK-K/11989,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SC2009071,SYARIKAT MA-IENG,Works,Valid,27/12/2026,yes,27/12/2026,UPK-K/10678,"F-I-1, F-I-2iia, F-I-2ib, F-I-2iib, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b"
S168/2005/C,SYARIKAT MEW TRANSPORTATIONS,Works,Valid,30/05/2027,yes,30/05/2027,UPK-K/10036,"E-I-1, E-I-3iia, E-I-4a, E-I-4b, E-I-4c, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5b, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b"
SC2015368,SYARIKAT NEW EDEN,Works,Valid,3/12/2026,yes,3/12/2026,UPK-K/10826,"F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c"
S037/2003/C,SYARIKAT PELBAGAIAN PANGAU,Works,Valid,28/03/2027,yes,28/03/2027,"UPK-K/10617, UPK-B/05069","E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-VI-5b, F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11"
S058/2004/C,SYARIKAT PENGANTAR BARU,Works,Expired,23/01/2025,yes,23/01/2025,UPK-K/08078,"F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e"
SC2008046,SYARIKAT PESAKA BUMIPUTERA SELANGAU,Works,Valid,29/06/2027,yes,29/06/2027,UPK-K/13671,"F-II-5a, F-II-5b, F-II-5c"
SC2007001,SYARIKAT SEBARIK BINA,Works,Valid,5/1/2027,yes,5/1/2027,UPK-K/12403,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-3iia, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-7, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1a, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-5c, E-VI-5d"
S068/2004/C,SYARIKAT SEPAKAN,Works,Valid,15/08/2026,yes,15/08/2026,UPK-K/12003,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SC2007012,SYARIKAT TAJAU TEPUS ENTERPRISE,Works,Valid,30/04/2026,yes,30/04/2026,"UPK-K/12116, UPK-E/00722","F-I-1, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-2a"
S210/2007/C,TAMIN BINAJAYA,Works,Valid,2/8/2026,yes,2/8/2026,UPK-K/11378,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-II-5a, E-II-5b, E-II-5c, E-III-2a, E-III-2b, E-III-2c, E-III-2d"
