Company Code,Company Name,Category,Registration Status,Validity Period,Bumiputera Status,Bumiputera Validity,Certificate No,Classifications
351/93,MIZATY ENTERPRISE,Works,Expired,6/9/2019,yes,6/9/2019,UPK-K/09116,"E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2ic, E-I-2iic, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-I-4a, E-I-4b, E-I-4c, E-I-4d, E-I-5a, E-I-5b, E-I-6, E-I-7, E-I-8, E-II-1a, E-II-1b, E-II-1c, E-II-1d, E-II-2a, E-II-2b, E-II-3a, E-II-3b, E-II-3c, E-II-4, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-II-6a, E-II-6b, E-II-7, E-II-8, E-II-9, E-II-10a, E-II-10b, E-II-10c, E-II-10d, E-II-10e, E-II-11, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c"
244/00,MMD ENTERPRISE,Works,Expired,7/11/2022,yes,7/11/2022,UPK-K/09228,"F-I-1, F-I-2iia, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-5a, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-2a"
SA20200910,MK JAYA CONSTRUCTION,Works,Valid,15/01/2028,no,15/01/2028,,"E-I-1, E-I-4a, E-I-4b, E-I-4c, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-II-5c, E-II-6, E-II-7, E-VI-5a, E-VI-5b, E-VI-6"
SA20111187,MSAS ENTERPRISE CO.,Works,Valid,16/02/2027,yes,16/02/2027,UPK-K/10718,"F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, E-I-1, E-I-2ia, E-I-2iia, E-I-2ib, E-I-2iib, E-I-2iic, E-I-3ia, E-I-3iia, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2b, E-III-2c, E-III-2d, E-III-3a, E-III-3b, E-III-3c"
SA2008226,NAILI ENTERPRISE,Works,Expired,5/1/2021,yes,5/1/2021,UPK-K/08866,"F-I-1, F-I-2ia, F-I-2iia, F-I-2ib, F-I-2iib, F-I-2ic, F-I-2iic, F-I-3ia, F-I-3iia, F-I-3b, F-I-3c, F-I-4a, F-I-4b, F-I-4c, F-I-4d, F-I-5a, F-I-5b, F-I-6, F-I-7, F-I-8, F-II-1a, F-II-1b, F-II-1c, F-II-1d, F-II-2a, F-II-2b, F-II-3a, F-II-3b, F-II-3c, F-II-4, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-6a, F-II-6b, F-II-7, F-II-8, F-II-9, F-II-10a, F-II-10b, F-II-10c, F-II-10d, F-II-10e, F-II-11, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e, F-III-2a"
SA2008970,NANDENG ENTERPRISE,Works,Valid,23/01/2027,yes,23/01/2027,UPK-K/10975 & UPK-B/04312,"F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6, F-II-7, E-I-1, E-I-2ia, E-I-2iia, E-I-3ia, E-I-3iia, E-I-3b, E-I-3c, E-I-4a, E-I-4b, E-I-4c, E-III-1d, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b"
520/02,NAZIRAH ENTERPRISE,Works,Valid,13/05/2027,yes,13/05/2027,UPK-K/05774,"F-I-1, F-II-1a, F-II-1b, F-II-1c, F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-III-1a, F-III-1b, F-III-1c, F-III-1d, F-III-1e"
SA20111616,NELSON NYALU ENTERPRISE,Works,Valid,21/02/2027,yes,21/02/2027,UPKJ/W/000195,"F-I-2ib, F-I-2iib, F-II-5a, F-II-5b, F-II-5c"
SA20201404,NENDAK ZEON ENTERPRISE,Works,Valid,10/3/2027,yes,10/3/2027,UPKJ/W/007208,"F-II-2a, F-II-2b, F-II-5a, F-II-5b, F-II-5c, F-II-6a, F-II-6b, F-II-7"
856/06,NGEREMBAI ENTERPRISE,Works,Valid,21/09/2027,yes,21/09/2027,UPK-K/12411,"E-I-1, E-I-2ib, E-I-2iib, E-II-1a, E-II-1b, E-II-1c, E-II-2a, E-II-2b, E-II-5a, E-II-5b, E-III-1a, E-III-1b, E-III-1c, E-III-1d, E-III-1e, E-III-2a, E-III-2b, E-III-2d, E-III-3a, E-III-3b, E-III-3c, E-III-4a, E-III-4b, E-III-4c, E-IV-1b, E-IV-2a, E-IV-4a, E-IV-4b, E-VI-5ia, E-VI-5iia, E-VI-5b, E-VI-1"
